Recipe Public Food Key,Food Name,Total Weight Change (%),Public Food Key,Ingredient Weight (g),Retention Factor ID
F005259,"Macaroni & cheese, homemade, cooked unfilled pasta, homemade cheese sauce",-5.0,F002479,15.0,7
F005259,"Macaroni & cheese, homemade, cooked unfilled pasta, homemade cheese sauce",-5.0,F006456,390.0,0
F006410,"Pasta in cream based sauce, prepared from dry mix with regular fat milk cows & margarine spread",-24.0,F006409,95.0,384
F006410,"Pasta in cream based sauce, prepared from dry mix with regular fat milk cows & margarine spread",-24.0,F005634,130.0,2151
F006410,"Pasta in cream based sauce, prepared from dry mix with regular fat milk cows & margarine spread",-24.0,F009527,310.0,0
F006410,"Pasta in cream based sauce, prepared from dry mix with regular fat milk cows & margarine spread",-24.0,F005370,4.5,5019
F006504,"Pastry, puff, with butter, commercial, baked",-23.0,F006505,100.0,301
F006502,"Pastry, puff, vegetable oil, commercial, baked",-22.0,F006503,100.0,301
F004265,"Gravy, prepared from dry powder with water",-14.0,F004263,19.2,302
F004265,"Gravy, prepared from dry powder with water",-14.0,F009527,250.0,0
F008032,"Sauce, pasta, bolognese, homemade using beef mince & homemade tomato based sauce",-9.0,F006191,30.0,5019
F008032,"Sauce, pasta, bolognese, homemade using beef mince & homemade tomato based sauce",-9.0,F006225,75.0,3785
F008032,"Sauce, pasta, bolognese, homemade using beef mince & homemade tomato based sauce",-9.0,F009222,400.0,3751
F008032,"Sauce, pasta, bolognese, homemade using beef mince & homemade tomato based sauce",-9.0,F005946,200.0,3785
F008032,"Sauce, pasta, bolognese, homemade using beef mince & homemade tomato based sauce",-9.0,F009527,200.0,0
F008032,"Sauce, pasta, bolognese, homemade using beef mince & homemade tomato based sauce",-9.0,F000666,500.0,752
F008032,"Sauce, pasta, bolognese, homemade using beef mince & homemade tomato based sauce",-9.0,F006618,1.0,0
F008032,"Sauce, pasta, bolognese, homemade using beef mince & homemade tomato based sauce",-9.0,F004193,10.0,3785
F008032,"Sauce, pasta, bolognese, homemade using beef mince & homemade tomato based sauce",-9.0,F008933,5.0,0
F008032,"Sauce, pasta, bolognese, homemade using beef mince & homemade tomato based sauce",-9.0,F000396,2.0,3006
F008032,"Sauce, pasta, bolognese, homemade using beef mince & homemade tomato based sauce",-9.0,F006321,4.0,3015
F008032,"Sauce, pasta, bolognese, homemade using beef mince & homemade tomato based sauce",-9.0,F009208,30.0,3751
F008090,"Sauce, white, savoury, homemade",-10.0,F004007,23.0,305
F008090,"Sauce, white, savoury, homemade",-10.0,F001973,36.0,5019
F008090,"Sauce, white, savoury, homemade",-10.0,F005634,258.0,2151
F005638,"Milk, cow, fluid, skim (0.15% fat), added milk solids",0.0,F005652,2.0,0
F005638,"Milk, cow, fluid, skim (0.15% fat), added milk solids",0.0,F005637,98.0,0
F003426,"Custard powder, vanilla, dry mix",0.0,F003989,96.0,0
F003426,"Custard powder, vanilla, dry mix",0.0,F009351,3.0,0
F003426,"Custard powder, vanilla, dry mix",0.0,F007879,1.0,0
F003441,"Custard, vanilla, prepared from dry mix",-15.0,F003426,25.0,302
F003441,"Custard, vanilla, prepared from dry mix",-15.0,F008976,18.0,0
F003441,"Custard, vanilla, prepared from dry mix",-15.0,F005634,514.0,2152
F008153,"Sausage, vegetarian style, fried, no added fat",-5.0,F008151,70.0,550
F008153,"Sausage, vegetarian style, fried, no added fat",-5.0,F008155,30.0,550
F006191,"Oil, vegetable",0.0,F006155,50.0,0
F006191,"Oil, vegetable",0.0,F006156,50.0,0
F003725,"Egg, chicken, whole, poached",-4.0,F003729,100.0,107
F003718,"Egg, chicken, whole, fried, no fat added",-12.0,F003729,95.0,103
